Results for N = 10
Iteration,v_true,alpha_true,tau_true,v_est,alpha_est,tau_est,bias_v,bias_alpha,bias_tau,squared_error
1,1.459140,0.537516,0.210012,1.539493,0.550375,0.187718,-0.080353,-0.012858,0.022294,0.007119
2,0.834816,1.604707,0.370680,1.848539,3.736331,-0.036454,-1.013723,-2.131624,0.407134,5.737215
3,1.838269,0.630408,0.268769,5.535075,1.247816,0.232684,-3.696806,-0.617408,0.036085,14.048869
4,0.544696,0.827957,0.302142,0.913539,0.927489,0.154319,-0.368844,-0.099532,0.147823,0.167804
5,0.539804,0.798256,0.359954,0.571105,0.709966,0.375237,-0.031301,0.088291,-0.015283,0.009009
6,1.317412,0.830661,0.335706,1.537857,0.901445,0.291935,-0.220445,-0.070784,0.043771,0.055522
7,1.714146,0.509748,0.422328,1.813821,0.467134,0.433845,-0.099676,0.042614,-0.011517,0.011884
8,1.547209,1.010376,0.162192,3.035174,2.275571,-0.030316,-1.487965,-1.265195,0.192508,3.851818
9,1.935820,1.004892,0.137098,1.541794,0.899144,0.108370,0.394026,0.105748,0.028728,0.167264
10,0.645075,1.771242,0.341490,1.755780,3.933725,-0.108766,-1.110705,-2.162483,0.450257,6.112731
11,1.710692,1.594598,0.314491,2.213118,3.120825,0.282821,-0.502426,-1.526228,0.031671,2.582806
12,1.959674,1.067802,0.320816,0.845969,1.001571,0.307852,1.113705,0.066231,0.012965,1.244893
13,1.744107,1.427780,0.444683,3.410209,2.025317,0.412637,-1.666102,-0.597537,0.032046,3.133975
14,1.366028,1.556858,0.118330,1.124409,1.232910,0.092349,0.241620,0.323948,0.025981,0.163997
15,0.841847,0.934082,0.131917,1.290324,1.074377,0.120544,-0.448476,-0.140295,0.011373,0.220943
16,0.849186,0.651502,0.211189,0.000000,nan,nan,0.849186,nan,nan,nan
17,1.453527,1.047248,0.248072,0.780893,1.085037,0.114601,0.672634,-0.037789,0.133472,0.471679
18,0.814261,0.900467,0.474662,1.662347,0.833938,0.576853,-0.848087,0.066529,-0.102191,0.734120
19,1.472053,1.413697,0.168455,1.105238,1.254295,0.107960,0.366815,0.159401,0.060496,0.163622
20,1.593690,0.745104,0.251782,1.148696,0.737617,0.294837,0.444994,0.007487,-0.043055,0.199929
21,1.984285,1.460000,0.322780,2.856264,2.418108,0.199686,-0.871979,-0.958109,0.123094,1.693471
22,1.526921,1.764278,0.410400,2.021338,3.416923,-0.094763,-0.494416,-1.652645,0.505163,3.230872
23,0.843572,0.548150,0.226181,-0.932463,0.434832,0.243207,1.776035,0.113318,-0.017026,3.167432
24,0.901611,0.816474,0.477164,1.718723,0.806584,0.487234,-0.817112,0.009890,-0.010070,0.667871
25,1.814551,0.972017,0.362175,0.862531,0.982339,0.347213,0.952021,-0.010322,0.014963,0.906674
26,1.093448,1.871821,0.283541,0.805673,1.720666,0.522137,0.287775,0.151156,-0.238596,0.162590
27,0.897320,0.869941,0.324547,1.605766,0.863323,0.331581,-0.708446,0.006619,-0.007034,0.501989
28,0.894112,1.376879,0.459129,0.623943,1.357973,0.163536,0.270169,0.018906,0.295593,0.160724
29,1.099101,0.828981,0.499015,2.360761,0.930727,0.520697,-1.261660,-0.101746,-0.021682,1.602608
30,1.264289,0.636364,0.118847,1.158831,0.731166,0.065612,0.105458,-0.094802,0.053234,0.022943
31,0.664474,1.441169,0.416832,0.000000,nan,nan,0.664474,nan,nan,nan
32,1.133240,0.595292,0.252648,2.349388,0.590066,0.264919,-1.216148,0.005225,-0.012271,1.479193
33,1.994182,1.293672,0.488431,3.148729,2.193506,0.450622,-1.154546,-0.899834,0.037809,2.144109
34,1.791170,0.517222,0.388289,3.714662,0.591501,0.392474,-1.923492,-0.074279,-0.004185,3.705357
35,1.522566,1.305455,0.206730,1.070314,1.295222,0.107801,0.452251,0.010234,0.098929,0.214423
36,1.461443,0.667328,0.273906,1.740970,0.796277,0.276858,-0.279528,-0.128949,-0.002951,0.094772
37,1.180586,1.930724,0.450341,1.757506,3.929862,-0.077990,-0.576920,-1.999138,0.528331,4.608525
38,0.895084,1.250879,0.171461,2.350600,2.938294,0.055764,-1.455517,-1.687415,0.115696,4.979283
39,1.868942,1.805778,0.219378,2.914227,2.370012,0.329371,-1.045286,-0.564234,-0.109993,1.423081
40,1.458424,1.413455,0.161136,1.114115,1.244300,0.257538,0.344309,0.169155,-0.096403,0.156455
41,1.643766,1.309069,0.411451,1.592534,1.379704,0.353097,0.051232,-0.070635,0.058354,0.011019
42,1.295531,0.500858,0.229662,0.000000,nan,nan,1.295531,nan,nan,nan
43,0.529215,1.893648,0.451489,0.893142,2.460106,-0.124954,-0.363927,-0.566459,0.576443,0.785604
44,1.747498,0.961271,0.123170,1.330439,1.041983,0.105593,0.417060,-0.080712,0.017577,0.180762
45,1.817014,1.920424,0.134261,2.140718,3.226373,-0.096017,-0.323704,-1.305949,0.230278,1.863314
46,1.228986,0.603819,0.404241,3.700243,0.593805,0.431135,-2.471258,0.010013,-0.026894,6.107938
47,1.648752,0.692587,0.290113,1.454217,0.582649,0.338495,0.194535,0.109938,-0.048382,0.052271
48,1.324705,0.897585,0.448973,1.337888,1.036181,0.432340,-0.013183,-0.138596,0.016633,0.019659
49,1.134707,0.817697,0.315718,1.044725,0.811025,0.282089,0.089982,0.006672,0.033629,0.009272
50,1.594897,0.801727,0.224687,2.553375,0.860518,0.263097,-0.958479,-0.058791,-0.038411,0.923613
51,1.992724,1.474817,0.275240,1.679203,1.308493,0.504057,0.313521,0.166324,-0.228817,0.178316
52,1.276364,0.681506,0.189879,1.763147,0.786262,0.138559,-0.486783,-0.104755,0.051320,0.250565
53,1.007128,1.382463,0.192046,0.939044,1.476282,0.120702,0.068084,-0.093819,0.071344,0.018527
54,0.830326,0.606490,0.352441,-1.273669,0.665242,0.327565,2.103995,-0.058752,0.024876,4.430865
55,0.843413,1.858130,0.443854,0.534896,1.584043,0.406986,0.308517,0.274087,0.036868,0.171666
56,0.606286,0.857007,0.367591,-0.401013,1.011101,0.324134,1.007299,-0.154094,0.043457,1.040286
57,0.821355,0.698468,0.474206,0.592830,0.683948,0.509800,0.228525,0.014520,-0.035595,0.053702
58,1.356565,1.209007,0.413848,1.035025,1.339382,0.255082,0.321540,-0.130376,0.158766,0.145592
59,1.711245,0.785615,0.138772,1.118692,0.757401,0.148251,0.592554,0.028214,-0.009479,0.352006
60,1.146577,1.135368,0.286810,1.231785,1.125435,0.398365,-0.085208,0.009933,-0.111555,0.019804
61,1.593614,1.510047,0.493666,1.497700,1.467066,0.519023,0.095914,0.042981,-0.025357,0.011690
62,0.647627,1.103932,0.235721,0.867498,0.976714,0.315212,-0.219871,0.127218,-0.079491,0.070847
63,1.792509,0.872985,0.176084,1.585090,0.874584,0.099094,0.207419,-0.001599,0.076989,0.048952
64,1.172920,1.132822,0.211418,3.059087,2.257783,0.060907,-1.886167,-1.124961,0.150511,4.845814
65,0.874710,1.884898,0.277252,0.921764,1.503958,0.616880,-0.047054,0.380941,-0.339628,0.262677
66,1.792024,1.325488,0.120235,2.368303,2.916331,-0.013433,-0.576279,-1.590843,0.133668,2.880747
67,1.998924,1.754041,0.487599,2.457697,2.810255,0.331564,-0.458773,-1.056214,0.156034,1.350407
68,1.889550,1.773044,0.166524,1.910062,1.150342,0.319975,-0.020512,0.622702,-0.153451,0.411725
69,1.228462,0.820621,0.260416,3.272615,2.110470,0.063568,-2.044153,-1.289849,0.196849,5.881022
70,0.587953,1.068460,0.494124,1.553554,0.892337,0.620708,-0.965601,0.176122,-0.126584,0.979428
71,0.897805,1.676106,0.282003,0.714911,1.939114,0.118335,0.182893,-0.263008,0.163669,0.129411
72,1.134511,1.935976,0.498169,1.379269,1.593035,0.599003,-0.244758,0.342941,-0.100834,0.187683
73,1.333652,1.577612,0.161919,1.907119,3.621564,-0.349305,-0.573467,-2.043952,0.511224,4.767952
74,0.945062,1.953064,0.331672,1.105557,1.987437,0.125866,-0.160495,-0.034373,0.205806,0.069296
75,1.313293,1.621963,0.122866,1.180967,1.860530,0.159786,0.132326,-0.238567,-0.036920,0.075787
76,1.376266,1.254276,0.441088,1.310977,1.676021,0.252290,0.065289,-0.421745,0.188798,0.217776
77,0.736149,1.941168,0.132045,0.726254,1.908828,0.111488,0.009895,0.032340,0.020556,0.001566
78,0.778737,1.392553,0.370085,0.000000,nan,nan,0.778737,nan,nan,nan
79,0.852806,0.679830,0.456115,1.237020,0.684951,0.477609,-0.384214,-0.005121,-0.021494,0.148109
80,0.869323,1.391779,0.347753,0.000000,nan,nan,0.869323,nan,nan,nan
81,1.128837,1.375508,0.309113,0.706457,1.199363,0.304678,0.422381,0.176145,0.004435,0.209452
82,1.902059,0.806389,0.386477,1.666395,0.831912,0.385772,0.235664,-0.025523,0.000705,0.056189
83,0.858029,1.093679,0.368676,1.354318,1.023611,0.459952,-0.496289,0.070068,-0.091276,0.259543
84,0.949996,0.974266,0.400746,-0.517986,0.782772,0.370421,1.467982,0.191494,0.030325,2.192560
85,0.608815,1.187428,0.499382,0.762183,1.111672,0.679900,-0.153369,0.075756,-0.180519,0.061848
86,1.994145,0.609891,0.185262,2.909921,0.755080,0.164726,-0.915776,-0.145189,0.020536,0.860148
87,0.897801,1.899889,0.452346,0.998358,2.200839,0.260117,-0.100557,-0.300950,0.192228,0.137634
88,1.818905,1.054291,0.163099,1.000809,0.846613,0.195219,0.818097,0.207677,-0.032120,0.713444
89,1.750617,1.555310,0.344671,0.970936,1.427792,0.465517,0.779681,0.127518,-0.120846,0.638768
90,1.980850,1.480964,0.103129,3.308286,2.087714,0.216704,-1.327436,-0.606750,-0.113574,2.143131
91,1.725656,0.949068,0.365355,0.990595,0.855342,0.346045,0.735061,0.093726,0.019310,0.549472
92,1.908395,0.701437,0.146171,1.826781,0.758873,0.120640,0.081614,-0.057436,0.025532,0.010612
93,0.660554,1.329835,0.208939,1.237189,1.775981,0.115521,-0.576635,-0.446145,0.093418,0.540281
94,1.407245,1.576418,0.181439,2.312749,2.986383,-0.059429,-0.905504,-1.409965,0.240868,2.865956
95,1.451357,0.895976,0.295413,1.069852,0.791977,0.375043,0.381505,0.103999,-0.079631,0.162703
96,1.858005,1.769156,0.136919,0.902923,1.535340,0.003343,0.955082,0.233815,0.133576,0.984693
97,1.135364,0.915020,0.101418,0.397384,1.020335,-0.062411,0.737979,-0.105315,0.163829,0.582545
98,1.656679,1.455670,0.204782,2.642770,2.613453,0.052087,-0.986091,-1.157783,0.152695,2.336153
99,1.611846,1.327521,0.271075,2.545880,2.712914,0.163879,-0.934034,-1.385393,0.107195,2.803225
100,0.514505,0.612866,0.453243,-1.529150,0.554097,0.439198,2.043655,0.058769,0.014045,4.180176
101,1.855893,1.318385,0.433838,2.621884,2.634271,0.235981,-0.765992,-1.315886,0.197858,2.357446
102,1.373764,0.722141,0.150978,2.655817,0.827325,0.161526,-1.282053,-0.105185,-0.010548,1.654834
103,0.962388,1.848472,0.418449,0.658195,2.106208,0.068928,0.304193,-0.257735,0.349521,0.281126
104,1.791054,1.848387,0.184031,2.135016,3.234990,-0.104200,-0.343962,-1.386603,0.288231,2.124054
105,0.874295,0.654190,0.412046,1.563513,0.541919,0.442674,-0.689218,0.112271,-0.030627,0.488565
106,1.826202,1.109566,0.348265,1.886557,1.164674,0.226345,-0.060355,-0.055108,0.121920,0.021544
107,0.731830,1.894822,0.445842,0.408780,2.072750,0.352940,0.323050,-0.177928,0.092902,0.144651
108,1.964309,1.716158,0.452566,1.615462,1.360122,0.516976,0.348847,0.356036,-0.064410,0.252605
109,0.537180,1.604847,0.232874,-0.307046,1.320537,0.455287,0.844225,0.284310,-0.222413,0.843016
110,1.896224,1.703353,0.445626,1.045098,1.326473,0.505357,0.851126,0.376880,-0.059731,0.870021
111,1.716124,0.900209,0.414950,2.292248,0.958546,0.413138,-0.576124,-0.058337,0.001812,0.335326
112,0.662143,1.808250,0.443437,0.475234,1.782907,0.705109,0.186910,0.025343,-0.261672,0.104050
113,0.833651,1.724880,0.284121,0.666566,1.271139,0.490430,0.167084,0.453741,-0.206308,0.276362
114,0.957786,1.693018,0.191038,0.255430,1.587382,-0.038944,0.702356,0.105637,0.229982,0.557355
115,0.535497,0.789695,0.231305,0.544171,0.745106,0.215261,-0.008674,0.044588,0.016044,0.002321
116,1.796529,1.950334,0.211650,1.965448,3.514087,-0.156587,-0.168918,-1.563753,0.368237,2.609456
117,1.462223,1.099518,0.492460,1.294060,1.071276,0.558300,0.168163,0.028242,-0.065840,0.033411
118,1.304324,1.908856,0.146137,1.843180,3.747194,-0.031453,-0.538857,-1.838339,0.177589,3.701393
119,1.955601,0.767852,0.485014,2.265071,0.970047,0.384701,-0.309470,-0.202195,0.100313,0.146717
120,0.898200,0.662604,0.273826,-0.874274,0.463774,0.332889,1.772473,0.198830,-0.059063,3.184684
121,1.592818,0.970516,0.342484,2.030294,1.082220,0.375085,-0.437476,-0.111704,-0.032601,0.204926
122,1.267135,1.077793,0.330635,1.698280,1.293794,0.277328,-0.431146,-0.216001,0.053307,0.235385
123,0.882084,1.563178,0.100677,0.861122,1.609870,0.068532,0.020962,-0.046692,0.032145,0.003653
124,1.888363,1.307678,0.387772,1.800034,1.220657,0.400263,0.088329,0.087021,-0.012491,0.015531
125,1.612925,1.505943,0.245689,2.416815,2.857792,-0.054968,-0.803890,-1.351849,0.300657,2.564130
126,0.604961,1.496357,0.232080,0.000000,nan,nan,0.604961,nan,nan,nan
127,0.970873,1.772023,0.387902,2.113371,3.268122,0.124037,-1.142497,-1.496099,0.263864,3.613238
128,0.950483,0.963927,0.263357,2.037666,1.078305,0.189619,-1.087182,-0.114378,0.073738,1.200485
129,1.103601,0.943483,0.150915,0.926185,0.914826,0.152481,0.177415,0.028657,-0.001566,0.032300
130,1.130670,1.910546,0.370927,1.263356,1.739197,0.627613,-0.132686,0.171348,-0.256686,0.112854
131,1.854208,1.423272,0.220380,3.306736,2.088693,0.195387,-1.452527,-0.665420,0.024993,2.553244
132,1.321906,0.500609,0.214765,1.166557,0.347574,0.235722,0.155349,0.153035,-0.020957,0.047992
133,1.144832,1.369977,0.361882,2.847042,2.425940,0.411519,-1.702210,-1.055963,-0.049637,4.015041
134,1.197482,1.163240,0.185481,1.204139,1.151274,0.119943,-0.006657,0.011965,0.065537,0.004483
135,1.209779,1.851771,0.418410,1.372254,1.601180,0.449932,-0.162474,0.250592,-0.031522,0.090188
136,0.754537,0.627193,0.306181,3.232700,0.679687,0.292269,-2.478163,-0.052494,0.013911,6.144242
137,1.449411,1.002782,0.427369,3.029349,2.279947,0.278355,-1.579938,-1.277165,0.149015,4.149557
138,1.626707,1.509194,0.189856,1.542571,1.424391,0.130492,0.084136,0.084803,0.059364,0.017794
139,0.798695,0.536638,0.197937,0.648918,0.624833,0.164521,0.149777,-0.088195,0.033416,0.031328
140,1.212705,1.774607,0.129131,2.497741,2.765200,0.350445,-1.285037,-0.990594,-0.221314,2.681575
141,1.121662,1.444648,0.177774,1.410227,1.558065,0.170071,-0.288565,-0.113417,0.007703,0.096193
142,1.544531,1.241566,0.197594,3.125998,2.209456,0.110441,-1.581467,-0.967890,0.087153,3.445444
143,1.484087,0.508317,0.400386,2.808064,0.493683,0.396265,-1.323977,0.014634,0.004121,1.753147
144,1.655069,0.659881,0.270058,2.727609,0.805550,0.188253,-1.072540,-0.145669,0.081806,1.178253
145,0.763830,1.936949,0.307183,1.763984,3.915429,0.074685,-1.000154,-1.978480,0.232498,4.968746
146,0.575328,0.873797,0.439335,0.000000,nan,nan,0.575328,nan,nan,nan
147,1.184693,1.702125,0.367031,0.487004,1.739816,0.474397,0.697689,-0.037692,-0.107366,0.499718
148,1.981839,1.393178,0.480016,2.000622,1.098271,0.529714,-0.018783,0.294908,-0.049698,0.089793
149,1.837139,1.418978,0.387710,1.743943,1.259918,0.396177,0.093196,0.159061,-0.008467,0.034058
150,1.257167,1.745854,0.319149,2.065492,3.343879,-0.085222,-0.808325,-1.598025,0.404371,3.370588
151,1.845812,1.615483,0.289870,2.733176,2.527007,0.210529,-0.887364,-0.911523,0.079341,1.624585
152,0.888787,0.870860,0.355065,1.994824,1.101463,0.287064,-1.106036,-0.230604,0.068001,1.281118
153,1.648721,1.281950,0.350699,0.943866,1.468740,0.135658,0.704854,-0.186790,0.215042,0.577953
154,0.911896,0.616225,0.214291,1.360326,0.622864,0.219260,-0.448430,-0.006639,-0.004969,0.201158
155,0.907573,0.979564,0.316061,1.644532,1.336079,0.244346,-0.736959,-0.356515,0.071715,0.675354
156,0.707561,0.846892,0.377580,1.452487,0.954428,0.328006,-0.744925,-0.107536,0.049573,0.568935
157,1.559629,0.596343,0.263040,2.864047,0.767175,0.250385,-1.304418,-0.170831,0.012654,1.730851
158,1.313917,1.123661,0.182734,1.623721,1.353203,0.099838,-0.309805,-0.229542,0.082896,0.155540
