Results for N = 4000
Iteration,v_true,alpha_true,tau_true,v_est,alpha_est,tau_est,bias_v,bias_alpha,bias_tau,squared_error
1,1.129271,1.868157,0.242394,1.112818,1.856058,0.243858,0.016453,0.012099,-0.001464,0.000419
2,0.934784,1.294418,0.474527,0.945782,1.292562,0.472715,-0.010998,0.001857,0.001812,0.000128
3,1.270800,1.649664,0.173299,1.277365,1.644790,0.175309,-0.006565,0.004874,-0.002010,0.000071
4,0.641763,1.628943,0.317485,0.645292,1.633027,0.323415,-0.003529,-0.004084,-0.005930,0.000064
5,1.808665,1.740233,0.373987,1.815385,1.709061,0.383423,-0.006721,0.031172,-0.009436,0.001106
6,0.951608,1.528166,0.375339,0.958631,1.529616,0.372805,-0.007022,-0.001450,0.002534,0.000058
7,0.643750,1.370070,0.429326,0.618870,1.365260,0.435836,0.024881,0.004810,-0.006510,0.000685
8,0.519346,1.277256,0.249206,0.516154,1.282912,0.248159,0.003192,-0.005656,0.001047,0.000043
9,1.227349,1.010470,0.464315,1.241660,1.025213,0.456581,-0.014311,-0.014743,0.007735,0.000482
10,0.653627,0.731832,0.188445,0.656378,0.726462,0.191437,-0.002752,0.005370,-0.002992,0.000045
11,0.782625,1.845585,0.345371,0.791566,1.827724,0.356035,-0.008941,0.017861,-0.010664,0.000513
12,1.747124,1.288479,0.312838,1.746190,1.285865,0.309773,0.000934,0.002614,0.003065,0.000017
13,1.326669,1.634460,0.145587,1.291805,1.636418,0.156600,0.034864,-0.001958,-0.011013,0.001341
14,1.190737,0.614600,0.427538,1.306280,0.616996,0.428886,-0.115543,-0.002396,-0.001348,0.013358
15,1.885115,1.219277,0.224629,1.879022,1.215252,0.226331,0.006092,0.004026,-0.001702,0.000056
16,1.043853,1.725558,0.455891,1.064424,1.735015,0.452705,-0.020571,-0.009457,0.003186,0.000523
17,1.396473,1.645384,0.236818,1.367362,1.644228,0.232036,0.029111,0.001156,0.004782,0.000872
18,1.564842,0.543139,0.425830,1.436601,0.542367,0.426328,0.128242,0.000773,-0.000498,0.016447
19,0.833537,1.785223,0.156944,0.829204,1.792263,0.166682,0.004333,-0.007040,-0.009738,0.000163
20,0.839862,0.688016,0.152087,0.837660,0.689462,0.151538,0.002202,-0.001446,0.000549,0.000007
21,0.617907,1.536227,0.413612,0.578510,1.524720,0.426237,0.039398,0.011507,-0.012626,0.001844
22,0.616603,1.662038,0.402934,0.623260,1.665737,0.400866,-0.006657,-0.003698,0.002067,0.000062
23,0.563775,0.661726,0.417222,0.618750,0.662034,0.416212,-0.054975,-0.000308,0.001010,0.003023
24,1.270219,0.588898,0.147569,1.301962,0.586022,0.149271,-0.031744,0.002876,-0.001702,0.001019
25,0.879519,0.599371,0.367035,0.891649,0.599297,0.367035,-0.012130,0.000074,0.000000,0.000147
26,1.631825,1.673556,0.468039,1.618605,1.683700,0.461838,0.013220,-0.010144,0.006201,0.000316
27,0.808102,1.851762,0.173913,0.790476,1.842588,0.165909,0.017626,0.009174,0.008004,0.000459
28,1.027300,0.636169,0.438345,1.029607,0.636656,0.439296,-0.002307,-0.000487,-0.000951,0.000006
29,1.912767,1.923187,0.239135,1.936484,1.924609,0.241350,-0.023716,-0.001422,-0.002215,0.000569
30,0.740836,1.250952,0.391422,0.770138,1.258736,0.385530,-0.029302,-0.007784,0.005891,0.000954
31,0.862734,1.355353,0.139642,0.859309,1.354199,0.124071,0.003425,0.001154,0.015571,0.000256
32,1.367201,0.520976,0.186799,1.378740,0.521863,0.186552,-0.011540,-0.000887,0.000247,0.000134
33,0.787321,0.922785,0.460664,0.806876,0.917141,0.458383,-0.019555,0.005645,0.002281,0.000419
34,1.305690,1.960370,0.139474,1.302444,1.968510,0.127405,0.003246,-0.008140,0.012069,0.000222
35,0.821023,1.256293,0.383102,0.857119,1.267791,0.379053,-0.036096,-0.011498,0.004049,0.001452
36,1.049695,1.384071,0.275866,1.016825,1.402233,0.270376,0.032869,-0.018162,0.005491,0.001440
37,1.936622,0.771273,0.241929,1.954750,0.771404,0.243378,-0.018128,-0.000131,-0.001449,0.000331
38,1.069423,0.821411,0.191022,1.131227,0.829426,0.188303,-0.061805,-0.008015,0.002719,0.003891
39,0.669268,1.976919,0.149446,0.656812,1.987548,0.127672,0.012456,-0.010629,0.021774,0.000742
40,0.665474,0.703869,0.404909,0.605635,0.700505,0.404188,0.059839,0.003363,0.000721,0.003593
41,1.557096,1.335698,0.116243,1.592935,1.351938,0.118530,-0.035839,-0.016240,-0.002287,0.001553
42,0.992173,0.673584,0.213445,1.065961,0.672862,0.215516,-0.073788,0.000722,-0.002071,0.005449
43,1.400584,0.968010,0.490472,1.417699,0.967971,0.492810,-0.017114,0.000040,-0.002339,0.000298
44,1.165934,1.330874,0.216236,1.148255,1.327962,0.222890,0.017679,0.002912,-0.006655,0.000365
45,1.783049,0.783177,0.127844,1.775421,0.788780,0.126139,0.007627,-0.005602,0.001705,0.000092
46,1.761587,1.213515,0.371652,1.809531,1.234502,0.368795,-0.047944,-0.020986,0.002858,0.002747
47,0.768946,1.998085,0.296659,0.757227,2.002502,0.293715,0.011719,-0.004417,0.002944,0.000166
48,0.657758,1.157088,0.363419,0.699308,1.159230,0.362773,-0.041551,-0.002143,0.000647,0.001731
49,0.627509,0.715051,0.260250,0.589182,0.712971,0.261235,0.038327,0.002080,-0.000985,0.001474
50,1.385836,0.652583,0.470116,1.388282,0.658128,0.470077,-0.002446,-0.005545,0.000039,0.000037
51,1.966780,0.597066,0.490083,1.956545,0.599705,0.489504,0.010235,-0.002640,0.000579,0.000112
52,1.007947,1.392441,0.496265,0.999631,1.372797,0.500050,0.008316,0.019644,-0.003785,0.000469
53,0.684143,1.757164,0.390080,0.685510,1.764705,0.395320,-0.001367,-0.007541,-0.005240,0.000086
54,0.917777,1.570241,0.332767,0.935472,1.576277,0.332593,-0.017695,-0.006037,0.000174,0.000350
55,0.909459,1.684239,0.357532,0.933360,1.700737,0.350723,-0.023901,-0.016498,0.006809,0.000890
56,1.100353,1.213739,0.341266,1.108688,1.216940,0.333248,-0.008335,-0.003201,0.008018,0.000144
57,1.106665,1.226799,0.211556,1.069748,1.228709,0.201528,0.036917,-0.001909,0.010029,0.001467
58,1.651999,0.662055,0.200276,1.609717,0.653827,0.203096,0.042283,0.008228,-0.002821,0.001863
59,1.245911,1.442557,0.153843,1.240108,1.463816,0.146404,0.005803,-0.021259,0.007439,0.000541
60,0.649405,0.579279,0.127291,0.697902,0.583963,0.127509,-0.048497,-0.004684,-0.000218,0.002374
61,1.517161,1.958109,0.253053,1.541315,1.963479,0.255718,-0.024154,-0.005370,-0.002665,0.000619
62,1.518807,0.729105,0.348787,1.617620,0.732228,0.347677,-0.098813,-0.003123,0.001110,0.009775
63,0.644500,0.614776,0.400644,0.748551,0.613033,0.399957,-0.104050,0.001742,0.000686,0.010830
64,1.651358,1.689097,0.180773,1.652267,1.684350,0.188804,-0.000909,0.004747,-0.008032,0.000088
65,1.493140,1.235376,0.204666,1.491468,1.238238,0.202064,0.001672,-0.002862,0.002602,0.000018
66,1.015423,1.789508,0.318648,0.979766,1.768424,0.328712,0.035657,0.021085,-0.010064,0.001817
67,1.928871,0.547398,0.272163,2.057217,0.551689,0.273464,-0.128346,-0.004291,-0.001301,0.016493
68,1.872409,1.075445,0.225824,1.876614,1.074446,0.228740,-0.004205,0.000999,-0.002917,0.000027
69,1.064505,1.189484,0.113144,1.037249,1.190967,0.111818,0.027256,-0.001483,0.001326,0.000747
70,1.335000,1.790541,0.221218,1.344835,1.793648,0.212127,-0.009836,-0.003107,0.009090,0.000189
71,1.559089,1.237219,0.153795,1.571575,1.245494,0.148919,-0.012487,-0.008275,0.004876,0.000248
72,1.573585,1.231182,0.143753,1.543680,1.238635,0.134710,0.029905,-0.007453,0.009043,0.001032
73,1.512537,1.490118,0.374150,1.475034,1.461821,0.381010,0.037503,0.028297,-0.006861,0.002254
74,1.358315,1.213867,0.441741,1.331142,1.222213,0.435886,0.027173,-0.008347,0.005854,0.000842
75,1.260028,1.087077,0.297876,1.240254,1.082927,0.306298,0.019774,0.004150,-0.008421,0.000479
76,1.956306,1.425410,0.241106,1.925350,1.422243,0.233656,0.030957,0.003167,0.007449,0.001024
77,1.966674,0.980724,0.111259,1.894169,0.974988,0.106491,0.072506,0.005736,0.004768,0.005313
78,0.567678,1.755401,0.239551,0.526488,1.754033,0.232237,0.041190,0.001369,0.007314,0.001752
79,1.613086,0.540350,0.456537,1.630064,0.536685,0.457141,-0.016978,0.003664,-0.000604,0.000302
80,1.011885,0.646025,0.238057,1.017142,0.643366,0.239373,-0.005257,0.002660,-0.001315,0.000036
81,1.036049,1.026904,0.364496,1.055795,1.038030,0.359534,-0.019746,-0.011126,0.004962,0.000538
82,0.871421,1.472124,0.337013,0.884407,1.482819,0.340440,-0.012986,-0.010695,-0.003427,0.000295
83,1.865584,0.598250,0.221965,1.956711,0.593302,0.225616,-0.091127,0.004948,-0.003651,0.008342
84,1.006391,0.529568,0.230447,1.005585,0.533530,0.230000,0.000807,-0.003962,0.000446,0.000017
85,1.191364,1.795053,0.327220,1.189921,1.791940,0.328316,0.001443,0.003113,-0.001096,0.000013
86,1.852115,0.899928,0.378383,1.860548,0.903347,0.376532,-0.008434,-0.003419,0.001852,0.000086
87,1.381984,1.978647,0.251095,1.414861,2.003217,0.237810,-0.032877,-0.024570,0.013285,0.001861
88,1.085451,1.358808,0.423331,1.108053,1.354788,0.430050,-0.022602,0.004020,-0.006720,0.000572
89,0.650085,1.512667,0.234387,0.637278,1.509372,0.235239,0.012807,0.003295,-0.000852,0.000176
90,1.254153,1.647356,0.235816,1.248882,1.659876,0.214354,0.005271,-0.012520,0.021462,0.000645
91,1.422242,1.045001,0.274396,1.384199,1.045200,0.274448,0.038043,-0.000199,-0.000052,0.001447
92,1.245428,1.771001,0.414860,1.213206,1.755374,0.422247,0.032221,0.015627,-0.007387,0.001337
93,1.760571,1.303751,0.214942,1.771608,1.305952,0.215819,-0.011037,-0.002201,-0.000877,0.000127
94,0.571297,1.994342,0.260811,0.562013,2.002552,0.243630,0.009284,-0.008210,0.017181,0.000449
95,0.838829,1.614332,0.136783,0.826435,1.603182,0.143388,0.012394,0.011150,-0.006605,0.000322
96,1.766280,0.642100,0.234735,1.750564,0.639829,0.235555,0.015717,0.002272,-0.000820,0.000253
97,0.600905,1.701779,0.290107,0.587714,1.694518,0.292714,0.013191,0.007260,-0.002607,0.000234
98,0.814609,1.693478,0.360615,0.838153,1.687832,0.361409,-0.023544,0.005646,-0.000794,0.000587
99,0.952771,1.706190,0.273164,0.953695,1.707843,0.275321,-0.000925,-0.001653,-0.002157,0.000008
100,1.309921,0.800115,0.260920,1.221504,0.799782,0.256598,0.088417,0.000333,0.004323,0.007836
101,1.437446,1.179843,0.405377,1.425511,1.183013,0.405000,0.011934,-0.003170,0.000377,0.000153
102,0.770901,0.527905,0.381333,0.786569,0.524763,0.381317,-0.015668,0.003142,0.000015,0.000255
103,1.794065,1.365265,0.185181,1.798666,1.367376,0.183582,-0.004602,-0.002111,0.001599,0.000028
104,1.943176,1.613312,0.286918,1.897384,1.595007,0.282702,0.045792,0.018305,0.004216,0.002450
105,1.905744,1.299079,0.345769,1.893866,1.284252,0.347546,0.011879,0.014827,-0.001777,0.000364
106,1.653679,1.150587,0.326447,1.657088,1.164697,0.316930,-0.003410,-0.014110,0.009517,0.000301
107,1.440138,1.283404,0.245710,1.467740,1.286168,0.238638,-0.027602,-0.002764,0.007072,0.000820
108,0.721616,0.725709,0.374123,0.760106,0.729907,0.374829,-0.038490,-0.004198,-0.000706,0.001500
109,0.950414,1.153083,0.227461,0.938700,1.150562,0.220301,0.011714,0.002522,0.007161,0.000195
110,1.745322,0.596641,0.181423,1.739378,0.598362,0.179341,0.005943,-0.001721,0.002082,0.000043
111,1.118658,1.735566,0.358417,1.124589,1.730330,0.356784,-0.005931,0.005236,0.001633,0.000065
112,0.884670,1.401848,0.262346,0.891767,1.401389,0.265661,-0.007097,0.000460,-0.003315,0.000062
113,0.670338,0.787874,0.198235,0.662397,0.782460,0.199805,0.007941,0.005414,-0.001571,0.000095
114,1.740843,1.196240,0.323930,1.759246,1.194260,0.328801,-0.018402,0.001980,-0.004871,0.000366
115,1.154199,1.470383,0.114801,1.183023,1.471227,0.116688,-0.028823,-0.000844,-0.001886,0.000835
116,0.739038,0.704646,0.203359,0.769271,0.704410,0.202393,-0.030233,0.000236,0.000965,0.000915
117,1.705307,1.488006,0.170394,1.740130,1.493146,0.174591,-0.034822,-0.005140,-0.004197,0.001257
118,1.778782,1.945680,0.294337,1.764505,1.932268,0.292606,0.014276,0.013413,0.001730,0.000387
119,0.529863,1.789376,0.133572,0.507667,1.799738,0.121366,0.022196,-0.010362,0.012206,0.000749
120,1.402400,1.800758,0.460230,1.403619,1.795027,0.457413,-0.001220,0.005730,0.002817,0.000042
121,1.110510,1.045151,0.362972,1.065135,1.040213,0.363182,0.045375,0.004938,-0.000209,0.002083
122,0.635459,1.914743,0.389694,0.650114,1.913427,0.376830,-0.014654,0.001317,0.012863,0.000382
